0%,Cooking Perfection Progress,,,,,,,,
,,,,,,,,,
,,Cooking Recipes,Ingredients,Recipe Source,,Total Ingredients Needed,,,
FALSE,,Fried Egg,Egg,Upgrade Farmhouse,,,#,Item,Notes
FALSE,,Omelet,"Egg, Milk","Queen of Sauce, Spring 28, Year 1",,Crops / Fruit,,,
FALSE,,Salad,"Leek, Dandelion, Vinegar",Emily - 3 Hearts,,FALSE,1,Apricot,Spring
FALSE,,Cheese Cauliflower,"Cauliflower, Cheese",Pam - 3 Hearts,,FALSE,1,Blue Jazz,Spring
FALSE,,Baked Fish,"Sunfish, Bream, Wheat Flour","Queen of Sauce, Summer 7, Year 1",,FALSE,1,Cauliflower,Spring
FALSE,,Parsnip Soup,"Parsnip, Milk, Vinegar",Caroline - 3 Hearts,,FALSE,2,Garlic,Spring
FALSE,,Vegetable Medley,"Tomato, Beet",Caroline - 7 Hearts,,FALSE,2,Green Bean,Spring
FALSE,,Complete Breakfast,"Fried Egg, Milk, Hashbrowns, Pancakes","Queen of Sauce, Spring 21, Year 2",,FALSE,2,Kale,Spring
FALSE,,Fried Calamari,"Squid, Wheat Flour, Oil",Jodi - 3 Hearts,,FALSE,2,Parsnip,Spring
FALSE,,Strange Bun,"Wheat Flour, Periwinkle, Void Mayo",Shane - 7 Hearts,,FALSE,3,Potato,Spring
FALSE,,Lucky Lunch,"Sea Cucumber, Tortilla, Blue Jazz","Queen of Sauce, Spring 28, Year 2",,FALSE,1,Rhubarb ,Spring
FALSE,,Fried Mushroom,"Common Mushroom, Morel, Oil",Demetrius - 3 Hearts,,FALSE,1,Banana,Summer
FALSE,,Pizza,"Wheat Flour, Tomato, Cheese","Queen of Sauce, Spring 7, Year 2",,FALSE,2,Blueberry,Summer
FALSE,,Bean Hotpot,Green Bean(2),Clint - 7 Hearts,,FALSE,3,Corn,Summer
FALSE,,Glazed Yams,"Yam, Sugar","Queen of Sauce, Fall 21, Year 1",,FALSE,3,Hot Pepper,Summer
FALSE,,Carp Surprise,Carp(4),"Queen of Sauce, Summer 7, Year 2",,FALSE,1,Mango,Summer
FALSE,,Hashbrowns,"Potato, Oil","Queen of Sauce, Spring 14, Year 2",,FALSE,2,Melon,Summer
FALSE,,Pancakes,"Wheat Flour, Egg","Queen of Sauce, Summer 14, Year 1",,FALSE,1,Pineapple,Summer
FALSE,,Salmon Dinner,"Salmon, Amaranth, Kale",Gus - 3 Hearts,,FALSE,1,Poppy,Summer
FALSE,,Fish Taco,"Tuna, Tortilla, Red Cabbage, Mayo",Linus - 7 Hearts,,FALSE,2,Radish,Summer
FALSE,,Crispy Bass,"Largemouth Bass, Wheat Flour, Oil",Kent - 3 Hearts,,FALSE,3,Red Cabbage,Summer
FALSE,,Pepper Poppers,"Hot Pepper, Cheese",Shane - 3 Hearts,,FALSE,4,Taro Root,Summer
FALSE,,Bread,Wheat Flour,"Queen of Sauce, Summer 28, Year 1",,FALSE,8,Tomato,Summer
FALSE,,Tom Kha Soup,"Coconut, Shrimp, Common Mushroom",Sandy - 7 Hearts,,FALSE,1,Amaranth,Fall
FALSE,,Trout Soup,"Rainbow Trout, Green Algae","Queen of Sauce, Fall 14, Year 1",,FALSE,1,Apple,Fall
FALSE,,Chocolate Cake,"Wheat Flour, Sugar, Egg","Queen of Sauce, Winter 14, Year 1",,FALSE,2,Artichoke,Fall
FALSE,,Pink Cake,"Melon, Wheat Flour, Sugar, Egg","Queen of Sauce, Summer 21, Year 2",,FALSE,1,Beet,Fall
FALSE,,Rhubarb Pie,"Rhubarb, Wheat Flour, Sugar",Marnie - 7 Hearts,,FALSE,1,Bok Choy,Fall
FALSE,,Cookie,"Wheat Flour, Sugar, Egg",Evelyn - 4-Heart Event,,FALSE,4,Cranberries,Fall
FALSE,,Spaghetti,"Wheat Flour, Tomato",Lewis - 3 Hearts,,FALSE,2,Egglant,Fall
FALSE,,Fried Eel,"Eel, Oil",George - 3 Hearts,,FALSE,3,Pumpkin,Fall
FALSE,,Spicy Eel,"Eel, Hot Pepper",George - 7 Hearts,,FALSE,2,Yam,Fall
FALSE,,Sashimi,Any Fish,Linus - 3 Hearts,,Forage,,,
FALSE,,Maki Roll,"Any Fish, Seaweed, Rice","Queen of Sauce, Summer 21, Year 1",,FALSE,3,Common Mushroom,Spring / Summer / Fall
FALSE,,Tortilla,Corn,"Queen of Sauce, Fall 7, Year 1",,FALSE,20,Moss,Spring / Summer / Fall
